"tconst","averageRating","numVotes"
"tt10380934",6.8,1340
"tt10381924",8.9,38
"tt10382566",8,111
"tt10382912",6.9,202
"tt10383558",5.9,15
"tt10384024",8,231
"tt10384106",6.7,2151
"tt10384116",5.1,82
"tt10384258",6.9,7
"tt10385122",5.9,16
"tt10388018",8.1,16
"tt10388054",6.8,24
"tt10388352",7.3,20
"tt10388572",7.9,65
"tt10389000",8,83
"tt10389096",4.1,8
"tt10389110",7.7,11
"tt10390120",7.5,6
"tt10390500",5.8,19
"tt10392366",7.2,31
"tt10393754",5.8,8
"tt10393806",7.3,159
"tt10394422",9.2,13
"tt10394706",6.6,2496
"tt10394770",7.3,4766
"tt10394778",5.3,2003
"tt10394790",7.1,131
"tt10394844",6.3,3423
"tt10395126",6.5,62
"tt10395156",6.1,16
"tt10397430",7.6,58
"tt10398168",9.5,23
"tt10398358",5.5,31
"tt10399010",7.1,100
"tt10399224",6.2,12
"tt10399368",7.4,19
"tt10399810",6.7,129
"tt10399966",7.7,24
"tt10402180",8.7,31
"tt10402904",6.4,5
"tt10403154",7.1,8
"tt10403508",6.7,11
"tt10403530",8.9,10
"tt10403926",8.1,16
"tt10404568",8.4,10
"tt10404664",7,2044
"tt10404698",5.7,3050
"tt10404752",7.2,139
"tt10404760",7.7,65
"tt10404822",4.1,185
"tt10405220",7,2631
"tt10405238",8.1,30
"tt10405374",7.6,6
"tt10405394",8.1,1523
"tt10405674",7.7,501
"tt10406128",8.1,2612
"tt10406280",6.9,20
"tt10406402",7.5,22
"tt10406826",3.9,291
"tt10408678",7.8,6
"tt10408704",9.2,19
"tt10408740",8.2,82
"tt10408756",7.4,15
"tt10408914",7.1,235
"tt10409194",8.1,14
"tt10409610",4.2,76
"tt10409756",6.3,52
"tt10410130",8.2,58
"tt10410442",7.1,183
"tt10410570",4.5,34
"tt10411158",5.9,5663
"tt10413018",8.5,6
"tt10413756",7.2,15
"tt10413838",6.6,69
"tt10414910",6.7,8
"tt10415266",8.1,46
"tt10417072",6.6,25
"tt10417572",7,281
"tt10417586",7.2,837
"tt10417598",8.9,22
"tt10417708",7.4,10
"tt10417836",7.4,2096
"tt10418224",8.5,7
"tt10420790",8.1,206
"tt10422308",6.2,16
"tt10422382",8.9,11
"tt10422388",9.3,23
"tt10422508",5.7,32
"tt10422618",8.7,188
"tt10423022",4.4,149
"tt10423076",6.8,9
"tt10423152",7.2,5
"tt10423424",6.1,230
"tt10423460",7.4,4633
"tt10423732",7.7,103
"tt10426192",6.8,8
